Digisol-DG-HR3400-300Mbps-Wireless-Broadband:
sandeep tivari,26 June 2017,Amazon,The first week of buying the router  it was working fine.Then the problems started.Everyday at least thrice a day it disconnects by itself without any explanation.Only when restarting the router does it connect to the internet.It's infuriating.People  please don't buy this product as you'll be cheated.I don't want people to be screwed the same way I am.,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
Jagadish Achuthanna,11 September 2016,Amazon,First of all i got it for 899/- and delivered two days before delivery date.... if u see the picture of router in amazon it looks very big.. but actual size is too small.. working fine no heating problem...I m writing this after 15 days of my usage it is working awesomely no problem i can get signals to my every corner of my room it can be wall mounted... my strong recommendation u can purchase without any hesitation,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
Jagadish Achuthanna,20 September 2017,Amazon,Guys I am using this router for more than a year  it comes with life time warranty. Till then no single problem had arrived with this product. It gives good connection speed on wifi. Its perfect for small and medium home/area.PROS:#double antenna#great range ( depends upon how much walls the signal has to travel to reach from router to the device)#supports both 2.5ghz and 5ghz frequency#easy setup#portable#4 lan ports#life time warranty#good service#value for moneyCONS:#As such no cons for this product.,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
sandeep tivari,1 May 2017,Amazon,MADE IN INDIA ;)It is better than Belkin for the price range.The range is good and had no problems yet. Using it since eight months.Check for service centers nearby just in case.Received it in four days. Packaging was good.Tip: Check with your broadband before buying a router as the requirement may differ.,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
TNT Fusion,9 June 2017,Amazon,Writing this review after one year of use .This product is made in India and it is best to use the Indian product   I have been using this router for more than one year and its working like beast.* Have been using 24*7 for 365 days have never powered down.Coverage area is good it covers my whole bungalow completely as well as gives me coverage on 2nd floor as well i have installed it on 1st floor so it covers the area well.Would like to give 5 + rating for the product   guys go for it the price offered is best with two antenna router   previously used products like D-Link and i-ball router but this is best in class.,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
T3M,23 June 2017,Amazon,Overall performance is good....,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
Yogesh soman,17 February 2018,Amazon,You wouldn't find any defect till one month of use. Coverage is quite good. Sometimes I get signal at a distance of 25 meters with multiple walls blocking.But After one month use film started  the wifi router started disconnecting  automatically after every 2-3 hours of use. You have to restart it to resolve the problem. Additionally  this problem is  well discussed in sevaral reviews here  but Amazon still supplying faulty product to its customers.Interestingly if you try to do some R&D to resolve the disconnection problem yourselves  here Digidol doesn't provide updated firmware software anywhere over Internet  so you just stuck with faulty product. No customer service number working either.Howcome Amazon can claim that this product has lifelong warranty?,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
Manigandan Smartdesigner,15 July 2017,Amazon,Well after a month of usage... This has got to be a crap Router. Stay away from buying anythign cheap. A Dlink or TP Link would anytime do a better job. My neighbours got the same connection (ISP) as I do but mine keeps dropping out. Its range is terrible. I would advise buyers to not look at a mere 200-300 price difference. Consider this... You are placing a sell on stocks and the connection keeps popping out and there you go your intraday loss is over 1000 as you missed the bus. Thats wht happened with me.,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
P Sharma,1 March 2019,Amazon,Great product at the price point we get it but only problem with it is weak in wireless repeater mode also I have two Digisol Routers out of which one had dead but can't do anything as there is no service centre being in Surat  Gujarat means you can't expect service if it is having any problems but it use to work well most of the times other router had already completed warranty period of 5 years still working great,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
sandeep tivari,31 July 2016,Amazon,From 4 days I am using it......and seems to be a good product....range is good and it can cover 1200 sq feet area....,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
Jagadish Achuthanna,29 June 2018,Amazon,Product- 5/5Amazon Delivery- 3/5 ( Not that great this time)Box packaging- 4/5 (Not so premium)In box- Product with fixed tilted antenas(2)  Product guide booklet  driver cd( I didn't find that useful)  power cable 5V 1Amp (enough long and adapter is good quality)  a short lan cablesetup- Takes around 1 min ( if you have experince  just connect and go to default router gateway with default id/pw then setup with isp static ip)Connection- I use 2 Lan ports and 2 mobile phones over wifi still no significant speed capping visible.Range- (The best Thing) I have 3 rooms on ground floor and 1 room on 1st floor  all the rooms get equal 4 bars and lawn area get 3 bars of signal over wifi  even my neighbours get 1-2 bars even they are 50-70 mts away. In a nutshell I didn't expect that.I use Alliance fibre optic broadband on ROB circle and use 8-10 mbps pack and get the exact speed on wifi and LANCompany provides 3 yrs of warrenty on main router and 1 yr of warrenty on power adapter that's good.Con- 1.Build quality not so good.  2. Fixed antenna.Verdict- Best for small home  full paisa vasool  Strongly recommendedP.S- I got it on amazon on Rs. 943 ( effectively 848 bcoz the upi transaction 10% cashback) that is a steal deal for me  because I search that exact same model on few offline stores they demand 1250-1300.,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
Pratik,29 August 2016,Amazon,This product looks very small but the impact it creates is very high. Honestly I did not expect this high performance from Digisol.I saved money by buying this low cost product and very happy with its performance.Signal never drops below 40Mbps.For me whose max speed before this was 8Mbps this is true rock stor signal performance.,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
Pramit S,7 December 2017,Amazon,I bought this router in Feb 2016. It gave some trouble during the initial installation. The customer support was technically knowledgeable  but expected me to sit around the router all day troubleshooting it with their assistance. After eventual successful installation  it worked reasonably well. The range is not particularly good. Does not work well through walls. It has now begun to fail  needs to be rebooted every hour or so. I'm on the market for a new router now.,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
Sridhar Sivaraman,8 January 2017,Amazon,connection keeps dropping and when i look on the networks available my wifi is available but when i click connect its asking for password again   i type the password and it says wrong password !what i had to do was to reboot the router   then it connects fine   but this keeps happening about 3 times a day so not great,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
Navin Kashyap,8 July 2017,Amazon,Pretty awesome in every which way. I get a signal even 3 floors below. Have never switched it off in 2 years!! No heating issues. Can be easily configured as a bridge or a repeater. I really like the Active client table and ability to set up temporary guest network.It unfortunately doesnt support ddwrt or openwrt. Sometimes some of my devices fail to connect even though they detect it  a quick reboot solves this.,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
